On Digikey,Part,Value,Device,Package,Description,MF,MPN,OC_FARNELL,OC_NEWARK,PROD_ID,SF_SKU
x,STAT3,GREEN,ADAFRUIT_LEDCHIPLED_0603,ADAFRUIT_CHIPLED_0603,LED,,,,,,
x,SW1,,SWITCH_PUSHBUTTONEVQ-PE,TACT_PANA-EVQ,Buttons,,,,,,
x,SW2,,SWITCH_PUSHBUTTONEVQ-PE,TACT_PANA-EVQ,Buttons,,,,,,
x,SW3,,SWITCH_PUSHBUTTONEVQ-PE,TACT_PANA-EVQ,Buttons,,,,,,
x,SW4,,SWITCH_PUSHBUTTONEVQ-PE,TACT_PANA-EVQ,Buttons,,,,,,
x,SW5,,SWITCH_PUSHBUTTONEVQ-PE,TACT_PANA-EVQ,Buttons,,,,,,
x,SW6,,SWITCH_PUSHBUTTONEVQ-PE,TACT_PANA-EVQ,Buttons,,,,,,
x,T1,MMUN2133LT1G,TRANSISTOR_MUN2113T1-PNP_DRIVER-SC59-BEC,TRANSISTOR_SC59-BEC,PNP Bias Resistor Transistor,,,,,,
x,THERM,15K,R-US_R0805,R0805,"RESISTOR, American symbol",,,,,,
x,U1,TPS61090RSAR,VREG_TPS6103X,PVQFN-16,"TPS6103x 4A Boost - 1.8-5.5V Input, Adjustable Output to 5.5V",,,,,,
x,U2,MCP73871,MCP73871,QFN20_4MM,MCP73871 Lithium Polymer Battery Charger,,,,,,
x,U3,LIS3DHTR,ACCEL_LIS3DHTR,LGA16_3X3MM,LIS3DHTR 3-Axis Accelerometer with I2C/SPI Interface,,,,,,
x,U4,MIC5225-3.3,VREG_SOT23-5,SOT23-5,SOT23-5 Fixed Voltage Regulators,,,,,,
x,Y1,16.00MHz,CRYSTALSMD-3.2X2.5,CRYSTAL-SMD-3.2X2.5MM,Crystals (Generic),,,,,,
https://www.digikey.com/BOM/View?id=7595418,,,,,,,,,,,
